"U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,-4.9915e-19,-1.0886e-18,0.32,-1.83,0.5
1,-8.2274e-06,-1.7943e-05,0.32,-1.8263,0.5
1,-1.6455e-05,-3.5887e-05,0.32,-1.8227,0.5
1,-2.4683e-05,-5.383e-05,0.32,-1.819,0.5
1,-3.291e-05,-7.1773e-05,0.32,-1.8154,0.5
1,-4.1138e-05,-8.9717e-05,0.32,-1.8117,0.5
1.0001,-4.9365e-05,-0.00010766,0.32,-1.808,0.5
1.0001,-5.7593e-05,-0.0001256,0.32,-1.8044,0.5
1.0001,-6.582e-05,-0.00014355,0.32,-1.8007,0.5
1.0001,-7.4048e-05,-0.00016149,0.32,-1.7971,0.5
1.0001,-8.2275e-05,-0.00017943,0.32,-1.7934,0.5
1.0001,-9.0503e-05,-0.00019738,0.32,-1.7897,0.5
1.0001,-9.873e-05,-0.00021532,0.32,-1.7861,0.5
1.0001,-0.00010696,-0.00023326,0.32,-1.7824,0.5
1.0001,-0.00011519,-0.00025121,0.32,-1.7788,0.5
1.0001,-0.00012341,-0.00026915,0.32,-1.7751,0.5
1.0001,-0.00013164,-0.00028709,0.32,-1.7714,0.5
1.0001,-0.00013987,-0.00030504,0.32,-1.7678,0.5
1.0002,-0.0001481,-0.00032298,0.32,-1.7641,0.5
1.0002,-0.00015632,-0.00034092,0.32,-1.7605,0.5
1.0002,-0.00016455,-0.00035887,0.32,-1.7568,0.5
1.0002,-0.00017278,-0.00037681,0.32,-1.7531,0.5
1.0002,-0.00018101,-0.00039475,0.32,-1.7495,0.5
1.0002,-0.00018923,-0.0004127,0.32,-1.7458,0.5
1.0002,-0.00019746,-0.00043064,0.32,-1.7422,0.5
1.0002,-0.00020569,-0.00044858,0.32,-1.7385,0.5
1.0002,-0.00021392,-0.00046653,0.32,-1.7348,0.5
1.0002,-0.00022214,-0.00048447,0.32,-1.7312,0.5
1.0002,-0.00023037,-0.00050241,0.32,-1.7275,0.5
1.0003,-0.0002386,-0.00052036,0.32,-1.7239,0.5
1.0003,-0.00024683,-0.0005383,0.32,-1.7202,0.5
1.0003,-0.00025505,-0.00055624,0.32,-1.7165,0.5
1.0003,-0.00026357,-0.00056123,0.32,-1.7129,0.5
1.0003,-0.00027217,-0.00056191,0.32,-1.7092,0.5
1.0003,-0.00028078,-0.00056258,0.32,-1.7056,0.5
1.0003,-0.00028939,-0.00056326,0.32,-1.7019,0.5
1.0003,-0.000298,-0.00056393,0.32,-1.6982,0.5
1.0003,-0.00030661,-0.00056461,0.32,-1.6946,0.5
1.0003,-0.00031521,-0.00056528,0.32,-1.6909,0.5
1.0003,-0.00032382,-0.00056595,0.32,-1.6873,0.5
1.0003,-0.00033243,-0.00056663,0.32,-1.6836,0.5
1.0003,-0.00034104,-0.0005673,0.32,-1.6799,0.5
1.0003,-0.00034965,-0.00056798,0.32,-1.6763,0.5
1.0003,-0.00035825,-0.00056865,0.32,-1.6726,0.5
1.0003,-0.00036686,-0.00056933,0.32,-1.669,0.5
1.0003,-0.00037547,-0.00057,0.32,-1.6653,0.5
1.0003,-0.00038408,-0.00057067,0.32,-1.6616,0.5
1.0003,-0.00039269,-0.00057135,0.32,-1.658,0.5
1.0003,-0.0004013,-0.00057202,0.32,-1.6543,0.5
1.0003,-0.0004099,-0.0005727,0.32,-1.6507,0.5
1.0003,-0.00041851,-0.00057337,0.32,-1.647,0.5
1.0003,-0.00042712,-0.00057405,0.32,-1.6433,0.5
1.0003,-0.00043573,-0.00057472,0.32,-1.6397,0.5
1.0003,-0.00044434,-0.00057539,0.32,-1.636,0.5
1.0003,-0.00045294,-0.00057607,0.32,-1.6324,0.5
